property_id,price,sqft,bedrooms,bathrooms,year_built,lot_size,neighborhood,latitude,longitude,crime_rate,school_rating
PROP_000020,775802.0519634928,1512.5012992924692,3,2,2003,1000.0,Downtown,40.07534625600613,-73.69430298071282,7.3,6.1
PROP_000021,434248.8315308995,1352.8504868877112,2,4,1991,1000.0,Suburbs,40.25416364906974,-73.70470941158106,8.8,9.2
PROP_000022,508671.4914571218,1555.244081780306,3,2,2015,1000.0,Suburbs,40.00518486277399,-73.37210558505136,4.9,7.0
PROP_000023,701944.9128950327,1635.973460809947,1,1,2019,1000.0,Tech Hub,40.83893350206937,-73.13959538168832,3.9,8.5
PROP_000024,729412.0735137546,3911.22876591397,4,1,1979,1000.0,Historic,40.215821027496844,-73.377109524181,1.4,4.6
PROP_000025,127939.24398013901,1652.8467207919587,1,2,1950,1000.0,Suburbs,40.02535074341546,-73.03735158532207,1.8,2.6
PROP_000026,517647.71032380423,2301.837012368327,5,2,1965,1000.0,Tech Hub,40.27993389694594,-73.0451347193368,2.4,2.1
PROP_000027,977184.5000428975,1789.2753241061814,5,2,1997,1000.0,Downtown,40.31141330939129,-73.0204894713785,5.2,6.8
PROP_000028,202662.10620354654,1897.2702827682335,2,5,1951,1000.0,Suburbs,40.61585009805221,-73.36490634913235,1.2,6.3
PROP_000029,341829.598295986,2529.7045396168373,5,6,1962,1000.0,Suburbs,40.573367041671936,-73.8714996467661,1.4,6.6
PROP_000030,460521.9417921833,1100.0386097337143,3,2,1978,1000.0,Downtown,40.65572263538074,-73.61460337903443,1.4,4.8
PROP_000031,648262.6010065732,2395.6799135053716,1,2,1973,1000.0,Tech Hub,40.75061475164086,-73.19316526073274,3.1,7.1
PROP_000032,372567.0241204528,1739.221487214809,1,3,1961,7193.8206189532475,Downtown,40.23823615240398,-73.6222711138237,9.6,8.6
PROP_000033,268609.21620714053,1900.3798019250526,5,1,1961,1000.0,Historic,40.57343788812329,-73.3681627878302,7.8,8.1
PROP_000034,693622.404584705,3450.933260703126,4,6,1958,1000.0,Downtown,40.11346460201745,-73.0690708943127,8.4,7.4
PROP_000035,772750.212532777,1618.0946155397432,4,1,2010,1000.0,Downtown,40.59188873882128,-73.64978175329969,3.2,4.0
PROP_000036,1200904.033800378,3272.1261752086803,5,4,2012,1000.0,Waterfront,40.25368217387314,-73.59479791321858,5.3,1.7
PROP_000037,574125.8209747304,2914.1807066350657,5,2,1985,1000.0,Suburbs,40.012154474689815,-73.03012117329236,5.7,6.7
PROP_000038,628297.0045353376,1911.2544514963918,4,2,1985,1000.0,Downtown,40.627558080084064,-73.4156856880769,5.2,4.2
PROP_000039,604494.714767204,2120.315029180966,1,2,1978,1000.0,Downtown,40.25994986285426,-73.54675915317117,6.2,9.3
PROP_000040,516523.8386892929,2943.5520965770297,1,3,2008,1000.0,Suburbs,40.93272848335401,-73.13393611049959,8.6,8.5
PROP_000041,1356210.4812094492,1278.9649450682655,4,8,2022,1000.0,Downtown,40.013671964827,-73.92464093964753,7.0,6.6
PROP_000042,594807.5713585408,800.0,3,5,2006,1000.0,Historic,40.26867248202531,-73.9778152579697,6.3,5.3
PROP_000043,669885.7551143264,1688.0716871921775,4,5,2001,1000.0,Suburbs,40.80504466751936,-73.09684894132337,9.2,3.7
PROP_000044,296954.20038869855,800.0,5,4,1972,1000.0,Suburbs,40.86236370874675,-73.05047937634235,2.2,2.4
PROP_000045,276584.53933238477,1248.0961709381158,3,4,1970,1000.0,Historic,40.34566728332386,-73.10321159009399,2.6,1.8
PROP_000046,668253.050555681,1025.2082869707315,2,3,2012,1000.0,Downtown,40.534423503732526,-73.64400851572802,4.4,1.0
PROP_000047,485582.60066485533,2028.5083678803646,2,2,2005,1000.0,Suburbs,40.759955408937586,-73.46873424602647,8.6,7.7
PROP_000048,242597.37667131366,800.0,1,2,1988,1000.0,Historic,40.10717201133978,-73.55258763317654,3.9,2.9
PROP_000049,658063.2281637279,1719.3686038617047,2,3,1983,1244.7821900122635,Downtown,40.34292686427826,-73.52603005856945,6.1,4.4
PROP_000050,442941.81486248964,800.0,5,3,1970,1000.0,Tech Hub,40.36308229639864,-73.3540827586684,2.4,3.2
PROP_000051,1161613.5432887184,1669.2390089458402,5,2,2015,1000.0,Downtown,40.080233745661644,-73.47548861042975,1.0,9.8
PROP_000052,604223.159117749,800.0,5,3,1968,2765.7024156456646,Waterfront,40.82086147315335,-73.28154272916345,2.8,7.6
PROP_000053,799736.1627900436,2212.7642154835457,5,2,1999,1212.6532452095564,Tech Hub,40.50610395635935,-73.06798565774307,5.9,2.8
PROP_000054,381060.8019411261,3911.902617774659,3,5,1958,1000.0,Suburbs,40.087868111242656,-73.86117522655798,2.8,4.4
PROP_000055,440091.9284600199,2282.5260985781324,1,4,1975,1000.0,Historic,40.84182877675827,-73.86022762337372,6.3,7.1
PROP_000056,1467986.012830875,3598.4396338296224,1,5,2000,1000.0,Waterfront,40.62410154418184,-73.46021893808536,4.9,4.0
PROP_000057,1083785.533430048,2872.290329354916,4,7,2017,1000.0,Historic,40.79402518927029,-73.37992724407148,8.9,4.1
PROP_000058,977973.4273749089,1784.100051765303,5,3,1994,1000.0,Tech Hub,40.110631736955206,-73.15354770826548,7.5,6.8
PROP_000059,820397.6297416968,3501.436650046453,2,2,1972,1000.0,Waterfront,40.59902936477733,-73.17320117219091,2.4,6.3
PROP_000060,563972.936372512,3425.730894828863,5,2,1980,1000.0,Suburbs,40.61145423543465,-73.98188981617916,6.5,4.8
PROP_000061,1091016.6816314755,2080.0763540637586,5,2,2006,1000.0,Waterfront,40.45083937140413,-73.88676195415924,3.0,6.5
PROP_000062,807089.0669585606,2380.2550881698453,3,4,1983,1000.0,Downtown,40.74424965184329,-73.79442019162437,9.3,6.3
PROP_000063,337993.17415362864,800.0,1,3,1998,1000.0,Historic,40.41892544950455,-73.0851540989319,1.8,10.0
PROP_000064,512105.40752817417,909.8371171680167,3,3,1979,1000.0,Downtown,40.299595911766474,-73.6900630737314,8.5,6.3
PROP_000065,156866.5761479325,1199.5037755416477,2,3,1957,1000.0,Suburbs,40.52439026932758,-73.55923725306177,6.8,4.7
PROP_000066,805455.5459793828,2977.7626769663493,3,3,2003,1000.0,Historic,40.83978885945657,-73.13300623998848,4.1,6.1
PROP_000067,303987.0891340704,2782.634385693006,3,3,1963,1000.0,Suburbs,40.80531496735791,-73.01127121804456,1.1,1.8
PROP_000068,306901.1786891637,800.0,2,5,1961,1000.0,Tech Hub,40.02653220387382,-73.8185645649102,8.5,4.1
PROP_000069,1228976.6599082109,3001.3211771198594,4,2,2008,1000.0,Tech Hub,40.294465759541914,-73.05154669303785,4.8,1.2
PROP_000070,513937.4500338604,1501.7163975189733,3,2,1978,1000.0,Downtown,40.54163421466087,-73.36652178017385,2.5,3.5
PROP_000071,280121.12186356273,1217.3017779079744,2,2,1976,1000.0,Suburbs,40.55417800251579,-73.34857961164813,7.0,2.6
PROP_000072,876818.0413588835,1665.0361273548408,2,2,2000,1000.0,Tech Hub,40.8381069631783,-73.59561849845097,1.8,7.9
PROP_000073,851118.4164812944,1900.3089749252244,2,3,2005,1000.0,Waterfront,40.29712171562318,-73.4335953597031,1.5,5.5
PROP_000074,434121.58798804175,800.0,1,4,1984,1000.0,Tech Hub,40.154672140883235,-73.37666744909501,8.4,8.2
PROP_000075,1038462.815948855,2743.5860058758158,3,2,2023,1000.0,Suburbs,40.10309374601375,-73.6854034431906,1.8,9.6
PROP_000076,910603.1667482568,3029.0148907236808,1,4,1975,1000.0,Waterfront,40.73222488640956,-73.19343885213856,1.4,7.4
PROP_000077,542609.535119745,2107.0781233968,2,4,1967,1460.5947698250636,Tech Hub,40.73102367145828,-73.80740097221437,6.9,4.3
PROP_000078,445218.76184973464,1166.012100618289,4,5,1982,1000.0,Historic,40.12056688577728,-73.92304679837079,9.0,6.5
PROP_000079,1246900.529073856,2852.384300052281,5,4,2005,1000.0,Waterfront,40.07002970574747,-73.9905145663715,1.8,4.0
PROP_000080,322913.4830880375,1759.7116095290971,2,2,1974,1000.0,Historic,40.737582301588894,-73.7612228542317,3.5,9.2
PROP_000081,1603672.7010341333,1779.9008109223405,3,8,2021,1000.0,Waterfront,40.94996118395022,-73.21365498558445,6.5,5.6
PROP_000082,456211.8872651377,2374.850794697218,1,4,1984,1000.0,Suburbs,40.04694535714781,-73.61590938850875,7.8,7.3
PROP_000083,624516.5495931264,1698.7578791821875,1,5,1978,1000.0,Tech Hub,40.22381761482262,-73.46302557710659,6.9,6.0
PROP_000084,975723.4025302997,2036.4737315760399,5,3,1989,1000.0,Waterfront,40.281390960577525,-73.74735090603912,8.9,5.6
PROP_000085,933414.3014359905,2690.237588632391,1,9,2012,1000.0,Suburbs,40.5437789079974,-73.13550711969265,8.9,9.7
PROP_000086,370876.77678408165,1703.7413051221627,2,4,1962,1000.0,Downtown,40.02924728303456,-73.17418324943523,6.6,9.8
PROP_000087,653040.8685984553,2597.0028528217763,3,5,1986,1000.0,Historic,40.00907240465273,-73.18132057950015,3.7,7.4
PROP_000088,415005.32777703955,1615.8945058433194,2,5,1956,1000.0,Downtown,40.58217046017627,-73.65411694304704,1.6,8.4
PROP_000089,723872.4087063778,1634.42614113806,2,4,1978,1000.0,Waterfront,40.6832953766065,-73.55409729362326,1.7,7.1
PROP_000090,1108628.917532235,1822.0697772355475,5,6,2007,1000.0,Waterfront,40.27325952699821,-73.0491364377496,9.0,3.1
PROP_000091,757701.4049221412,3155.0116832586073,1,7,2002,1000.0,Historic,40.47320990669156,-73.03180657208527,1.0,6.4
PROP_000092,831045.3358403674,1540.8884141318936,5,3,2021,1000.0,Historic,40.24753995560337,-73.4415873274168,5.2,7.1
PROP_000093,683394.1637830681,1942.1732175436607,1,1,2000,1000.0,Waterfront,40.69498188612654,-73.1398776028108,9.9,2.3
PROP_000094,386533.389096647,1298.945065620655,5,1,1975,1000.0,Historic,40.702464970544106,-73.44035131651309,4.6,2.2
PROP_000095,698233.7318011592,2512.674289013608,4,1,2010,1000.0,Suburbs,40.82144072800987,-73.95881650472073,8.8,7.4
PROP_000096,642523.79206225,3053.9152525074605,2,2,2009,1000.0,Historic,40.339450192542806,-73.18517488625349,7.6,1.7
PROP_000097,320822.2120099622,1576.561409963024,2,1,1971,1000.0,Tech Hub,40.65870777550088,-73.50180428354686,5.4,1.7
PROP_000098,872649.1591014467,2872.836881731734,2,3,1969,1000.0,Waterfront,40.68022824243129,-73.92780159102082,5.5,5.9
PROP_000099,212765.77324855022,2329.774721795147,2,5,1961,1000.0,Suburbs,40.72525766041514,-73.5133310585753,8.5,3.1
PROP_000100,593117.9163189098,1559.755876923664,2,3,2011,1000.0,Suburbs,40.71582496468209,-73.09096747933435,1.9,4.6
PROP_000101,645400.0803893133,3443.597670689288,3,2,1984,1000.0,Historic,40.59295085143493,-73.83647612741498,8.0,2.2
PROP_000102,319394.09231519356,1879.6641164305336,2,3,1954,1000.0,Tech Hub,40.23702785710834,-73.76532596173845,3.2,6.6
PROP_000103,288967.8260390471,2416.5315364273674,5,4,1955,1000.0,Historic,40.379358589922425,-73.39446184235511,3.4,1.5
PROP_000104,673592.0564953568,1895.2672217842005,5,1,1982,1000.0,Tech Hub,40.93660569229496,-73.96065645933149,5.6,1.4
PROP_000105,969187.283553126,2362.027913457068,3,3,1994,1000.0,Downtown,40.580112229695466,-73.7457754201025,2.7,7.6
PROP_000106,519436.7307827999,2437.7727504456034,2,2,1966,1000.0,Tech Hub,40.44375021930457,-73.1318577456225,8.5,8.8
PROP_000107,1280690.9334399453,2223.2243403700313,3,5,2015,1000.0,Downtown,40.68952675103156,-73.32348661422276,8.8,8.0
PROP_000108,1549612.9328097142,2978.552084341327,4,6,2003,1000.0,Tech Hub,40.28868559553064,-73.89089036823425,6.8,4.0
PROP_000109,988051.9404779641,3269.099104127213,1,2,1993,1000.0,Tech Hub,40.3804197042328,-73.45150027834852,2.5,6.8
PROP_000110,282942.893515866,2047.313697817938,4,1,1975,1000.0,Suburbs,40.46349404380057,-73.62021421982077,2.0,2.3
PROP_000111,682542.1464958077,2136.7767772545753,2,4,1996,1000.0,Historic,40.607905092793445,-73.23511673845788,2.8,5.3
PROP_000112,551863.1124924587,1303.5419069905952,3,4,1979,1000.0,Waterfront,40.101420828449214,-73.51412824081368,7.4,3.5
PROP_000113,870521.5745758538,1820.2934800023804,5,2,1991,1000.0,Waterfront,40.12322265417217,-73.14058420671941,8.3,4.4
PROP_000114,546318.6779615018,2964.922716536473,4,2,1959,1000.0,Tech Hub,40.633151375594025,-73.04859665779334,2.6,4.2
PROP_000115,1130238.1775363046,2212.32306267883,2,6,2004,1000.0,Downtown,40.23687055897448,-73.21947448475613,7.6,8.8
PROP_000116,1359382.511649415,2979.6675501009145,3,2,2006,1000.0,Tech Hub,40.09571455552016,-73.97636141395367,5.5,9.9
PROP_000117,480919.3763346972,1382.1567797388198,1,3,1968,1000.0,Waterfront,40.44271696677953,-73.55420908542277,9.1,8.0
PROP_000118,657144.6000877839,1534.655268841085,3,3,2009,1000.0,Historic,40.08565824959643,-73.10580912533588,1.6,8.2
PROP_000119,260351.12815640453,800.0,2,5,1979,1000.0,Suburbs,40.68013193110345,-73.76917081084599,1.8,9.7
PROP_000120,306272.60570283217,1268.0327457738426,1,2,1965,1000.0,Tech Hub,40.69000489082067,-73.79906631134094,7.0,8.2
PROP_000121,614004.1271749891,1746.8732402441585,1,4,1981,1000.0,Tech Hub,40.73718022500724,-73.23140019521149,8.0,7.4
PROP_000122,617248.8217921237,1436.569833447049,3,2,2016,1000.0,Historic,40.303128355945326,-73.73688743008915,4.6,5.0
PROP_000123,1486196.63133898,3994.3996139462324,4,4,1994,1000.0,Waterfront,40.786275956757095,-73.42541261768223,8.8,8.3
PROP_000124,600417.0205620711,2569.817191604702,2,1,2003,1000.0,Historic,40.81873500407427,-73.67747202215358,3.8,6.5
PROP_000125,750701.0728307171,2745.4208779269647,5,1,1970,1000.0,Waterfront,40.398663027772315,-73.85362600783775,9.7,4.9
PROP_000126,340389.2071534334,2580.613458530426,5,1,1951,1000.0,Tech Hub,40.93644917388366,-73.12389480740195,6.9,2.4
PROP_000127,487032.9540834575,1949.8744350380443,1,2,1970,1000.0,Waterfront,40.75425354434386,-73.3805022485924,1.9,7.2
PROP_000128,511779.9371587612,1413.595149378687,4,3,1999,1000.0,Historic,40.61805167428719,-73.36681037398654,2.2,9.0
PROP_000129,1310353.5889446258,1820.1876784858532,5,3,2011,1000.0,Waterfront,40.41412975252893,-73.17246210443312,3.3,7.8
PROP_000130,780519.013061367,2748.1905291197018,5,5,2009,1000.0,Suburbs,40.189694848174675,-73.38105180699228,6.8,5.5
PROP_000131,400943.17024664866,1633.4267845595398,2,3,1987,1000.0,Historic,40.864660392140415,-73.75652203159514,2.2,1.9
PROP_000132,617528.811379508,1841.756251282795,2,1,2009,1000.0,Downtown,40.942831141413265,-73.19111653836367,8.0,8.4
PROP_000133,1150831.1958586695,1922.1534489823787,5,2,2014,1000.0,Downtown,40.61393358476006,-73.93334795943932,1.3,7.7
PROP_000134,877023.5617593387,1358.0058134306823,4,4,2007,1000.0,Downtown,40.072084335998674,-73.92874327223474,1.9,6.9
PROP_000135,537514.8013605888,2703.674070389093,1,3,1985,1000.0,Historic,40.89890082400623,-73.21751507543607,6.8,5.8
PROP_000136,292358.4016392573,1191.5247306347142,5,5,1964,1000.0,Suburbs,40.32221550344463,-73.87476642956717,2.0,6.4
PROP_000137,392217.0819400239,1376.788925573046,4,2,1981,1000.0,Historic,40.38865279862985,-73.8363161985347,9.9,7.0
PROP_000138,424675.0662377531,1006.9448012578011,4,1,1971,1000.0,Downtown,40.258431620291816,-73.45598342081725,9.9,9.4
PROP_000139,1020452.9858653848,1478.9144849665367,4,4,2012,1000.0,Waterfront,40.965129742127,-73.51160586993507,8.9,4.9
PROP_000140,737837.2391193649,2431.3056825462445,4,1,2013,1000.0,Suburbs,40.55804232514897,-73.18824778313429,8.2,2.8
PROP_000141,1222469.646518746,2315.737223858385,5,6,1983,1000.0,Waterfront,40.18802473461542,-73.64461543131426,7.8,8.6
PROP_000142,1043289.6239165073,3381.571080986724,3,2,2003,1000.0,Waterfront,40.996334337627246,-73.63169046949315,7.3,1.0
PROP_000143,1519361.9136339137,3010.0672827417457,4,3,2007,1000.0,Downtown,40.387673594750396,-73.59767287531345,6.4,7.1
PROP_000144,407965.91815143457,2872.2196050754083,3,1,1979,1000.0,Suburbs,40.602145644052484,-73.97706718873195,9.8,2.9
PROP_000145,1138660.7071399097,3045.245969411478,1,1,1996,1000.0,Tech Hub,40.14745252670628,-73.67180724639069,6.7,8.1
PROP_000146,1195247.13600661,2680.075191453447,2,2,2010,1000.0,Waterfront,40.68591127104986,-73.0088735681787,9.8,2.5
PROP_000147,1574562.8271644588,3340.4379148355883,3,3,2018,1000.0,Tech Hub,40.697670627520075,-73.07038307712432,8.2,5.1
PROP_000148,1081294.45425539,2079.9244351219277,4,2,2009,1000.0,Tech Hub,40.706019007664025,-73.3688293540433,2.2,4.6
PROP_000149,503340.06662991224,2650.3656898925196,4,2,1963,1000.0,Tech Hub,40.06895801635642,-73.94294527884874,7.8,5.0
PROP_000150,695046.0263802569,2842.4459464123033,5,3,1964,1152.810263677573,Tech Hub,40.26813902009551,-73.84361819559655,1.2,7.0
PROP_000151,929244.8632792258,2412.7513741632797,1,3,1986,1000.0,Tech Hub,40.052257879286024,-73.58120668092585,9.7,6.5
PROP_000152,470909.9589967325,1514.1235209876359,1,4,1977,1000.0,Downtown,40.18301544423473,-73.9779648397025,7.5,1.6
PROP_000153,311901.56775509205,3449.203850074813,2,3,1965,1000.0,Suburbs,40.48469628713005,-73.83422545983673,5.9,1.6
PROP_000154,356268.02992636885,1989.1177324437422,5,2,1964,1000.0,Historic,40.35597337379485,-73.02193818202647,2.8,8.9
PROP_000155,110836.71993769781,800.0,2,1,1952,1000.0,Suburbs,40.75072950699935,-73.44201926121735,5.5,1.9
PROP_000156,343456.5189455896,1898.2948466784019,3,2,1973,1000.0,Historic,40.451696819231685,-73.60261860951468,4.2,7.8
PROP_000157,271763.0541297477,1100.8788265079256,2,2,1961,1000.0,Downtown,40.395970472662455,-73.08490993159296,4.3,9.1
PROP_000158,513362.36997782206,1562.7940843929964,5,6,1958,1000.0,Waterfront,40.983521472715225,-73.85928847195125,8.2,5.5
PROP_000159,1849172.9648973309,2361.8974369997873,4,4,2018,1000.0,Tech Hub,40.667919998803626,-73.36532872674606,7.5,9.0
PROP_000160,405286.3618964497,2387.0181927614763,3,6,1952,1000.0,Tech Hub,40.973457389976176,-73.6631594981389,8.9,5.7
PROP_000161,506007.7654990613,1758.4923958475586,4,3,2006,1008.092630415731,Suburbs,40.10063747852353,-73.76012588724406,7.6,8.3
PROP_000162,542567.894918335,1056.7681670721581,4,2,1969,1000.0,Waterfront,40.634142138295736,-73.8737352584355,3.0,8.5
PROP_000163,494005.90793515375,923.2162558026012,5,1,2002,1000.0,Historic,40.86638651425134,-73.78447013120866,8.8,7.9
PROP_000164,876018.8422653542,2687.4057799998723,3,2,1995,1000.0,Waterfront,40.05909389007825,-73.10115261181976,5.1,8.8
PROP_000165,1230387.5394137185,2677.9373417203374,2,2,2000,1000.0,Waterfront,40.42254842831194,-73.9579753248286,8.6,9.8
PROP_000166,850225.6111960962,2527.504468949561,5,2,1979,1000.0,Downtown,40.30475109538613,-73.17060533514115,1.4,6.1
PROP_000167,674712.4179909809,1557.7319723030564,1,1,2017,1000.0,Tech Hub,40.29723780770862,-73.70008088849302,9.9,6.6
PROP_000168,726388.8088019454,800.0,2,3,2016,1000.0,Tech Hub,40.83815218355193,-73.71470966164269,5.4,7.6
PROP_000169,707833.6333478276,2022.177350781256,1,1,1996,1000.0,Waterfront,40.829286799316755,-73.12102109971774,4.1,2.5
PROP_000170,431088.71420609375,1188.4648982656004,4,1,1971,1000.0,Tech Hub,40.631307553091986,-73.40830283769367,8.1,9.7
PROP_000171,667558.5449162087,1255.2950446452767,1,1,2010,1000.0,Waterfront,40.74359391617656,-73.4937339405048,2.3,3.5
PROP_000172,1069877.1390529163,1549.909213737075,5,4,2011,1664.6548019641868,Downtown,40.45046530165782,-73.5270286539045,8.5,8.6
PROP_000173,276150.24682324723,800.0,3,1,1958,1000.0,Tech Hub,40.5720486433693,-73.48733227404358,8.4,5.8
PROP_000174,1201605.8829600036,3520.952548602406,3,3,1989,1000.0,Waterfront,40.50741193871781,-73.12577747531482,4.8,4.7
PROP_000175,512257.066575806,2406.980018583947,2,3,1995,1000.0,Historic,40.67460785291622,-73.70327235889592,7.2,2.0
PROP_000176,694419.5642854214,1831.0958089378444,4,3,1990,1000.0,Downtown,40.45623650895554,-73.63094697823908,9.5,7.0
PROP_000177,511848.0312926639,3128.745903797016,3,5,1951,1000.0,Waterfront,40.598692402319095,-73.497846390038,9.9,8.4
PROP_000178,835304.3017954144,4142.487898910714,2,4,1973,1000.0,Downtown,40.42203426012764,-73.70495929234585,6.9,8.6
PROP_000179,931229.4129369186,3420.2487140876096,2,2,1981,1000.0,Waterfront,40.07761464473144,-73.45746563146776,9.2,4.9
PROP_000180,492719.81124825875,3268.517194308586,1,3,1956,1000.0,Waterfront,40.582198746594116,-73.62882757656237,2.3,9.0
PROP_000181,332006.86207642534,1655.8746915265306,3,2,1960,1000.0,Tech Hub,40.51723938171433,-73.62108972194119,6.5,4.3
PROP_000182,691520.0699091605,2022.3611641955679,5,2,2013,1000.0,Historic,40.58022151878503,-73.44031155516205,4.7,4.6
PROP_000183,389389.16110701987,1645.1053563863572,5,3,1955,1000.0,Tech Hub,40.289244771972655,-73.09991681698352,9.9,3.6
PROP_000184,863812.1318954114,4106.339549543882,5,4,1981,1000.0,Historic,40.030937644731345,-73.02925784632275,7.4,2.6
PROP_000185,609948.6250304704,2068.2828951102474,3,2,1962,1000.0,Tech Hub,40.96641738586641,-73.44229117374995,4.6,9.9
PROP_000186,541912.5350373966,1848.1579842020635,5,2,1985,1000.0,Historic,40.300489385600436,-73.67417688243555,9.2,2.2
PROP_000187,1121460.824812838,3249.525139812885,3,2,2005,1000.0,Tech Hub,40.45846642456926,-73.96201843671015,9.5,2.3
PROP_000188,744970.9240076303,1958.3842492335887,2,4,1976,1000.0,Waterfront,40.5129024161472,-73.90632757929409,5.6,5.4
PROP_000189,957762.4294466636,2178.5911313033275,4,4,1994,1000.0,Waterfront,40.407584208573816,-73.17248107789369,9.0,1.6
PROP_000190,684082.5172343074,2524.720621223809,2,5,1970,1000.0,Waterfront,40.448319055369424,-73.48956751099577,4.2,8.2
PROP_000191,710608.5038425366,1452.8323985607226,2,4,2014,1000.0,Downtown,40.79339401430535,-73.00945396722986,1.6,1.1
PROP_000192,1282247.248781037,2279.3380322494854,1,4,2021,1000.0,Tech Hub,40.82192663593993,-73.19081682886097,2.0,8.3
PROP_000193,583323.3409114882,2486.885953885392,2,2,2015,1000.0,Suburbs,40.07686207527616,-73.49937573192958,3.7,3.1
PROP_000194,597830.8795548535,2663.5798735453986,5,4,1962,1000.0,Waterfront,40.80348274329688,-73.07077194636814,6.4,4.2
PROP_000195,761851.1793771143,2268.029700209974,2,3,1981,1000.0,Downtown,40.71979145335469,-73.13306653164811,3.1,3.7
PROP_000196,428357.9068410212,1979.5405502464046,2,1,1998,1000.0,Historic,40.14287596133941,-73.22465384959686,3.9,1.0
PROP_000197,528654.2082243391,2012.3031850976845,1,3,1977,1000.0,Downtown,40.062689621621864,-73.160661507644,3.4,8.6
PROP_000198,460282.99190867925,1910.1168868236953,4,2,1978,1000.0,Historic,40.571809163607156,-73.09280017843938,4.5,6.7
PROP_000199,398172.1667626442,1346.8768111191666,3,4,1961,1000.0,Tech Hub,40.1828072366569,-73.72156059174957,8.8,5.3
PROP_000200,634905.0587511323,2175.9337204847475,4,3,2003,1000.0,Suburbs,40.63442414528658,-73.22921938173612,8.9,2.9
PROP_000201,774668.2953709485,3281.802580485528,4,4,2003,1000.0,Suburbs,40.394734353844825,-73.06919270268351,3.6,4.3
PROP_000202,496468.50046736974,1259.3446534819368,2,1,1986,1000.0,Downtown,40.82330942982072,-73.21798466506704,9.2,8.5
PROP_000203,1089162.724590059,2065.8639093736697,1,5,2014,1000.0,Waterfront,40.492864584447446,-73.59571025274514,8.0,5.7
PROP_000204,178954.73779745348,1846.6352688822906,1,1,1955,1000.0,Suburbs,40.85712955985628,-73.42464459674845,4.9,4.0
PROP_000205,259135.37212323287,1341.3126363372617,3,5,1957,1000.0,Historic,40.641859958855356,-73.42935037611906,5.1,4.6
PROP_000206,358141.402213036,2120.1077072049743,5,3,1958,1000.0,Historic,40.8994552125461,-73.28986456820193,3.2,5.8
PROP_000207,554606.5247442081,3079.06353635132,2,2,1975,1000.0,Historic,40.776928010327225,-73.79501879047318,3.5,9.8
PROP_000208,339608.61362235807,1351.3139910317295,4,3,1980,1000.0,Historic,40.388165706127,-73.32586970446394,7.4,1.6
PROP_000209,457776.0376468294,3671.6309773558187,5,7,1952,1000.0,Downtown,40.95793412105677,-73.47034027605439,2.9,1.4
